2022 07-11, 15:18,
2022 07-11, 15:21, 32.95 ms , 11.86 Mbps ,
2022 07-11, 15:26, 26.42 ms , 12.81 Mbps , 12.68 Mbps ,
2022 07-11, 15:29, 48.07 ms , 11.55 Mbps , 11.22 Mbps ,
2022 07-11, 15:35, 37.09 ms , 12.56 Mbps , 13.77 Mbps ,
2022 07-11, 15:40, 30.17 ms , 13.38 Mbps , 11.72 Mbps ,
2022 07-11, 16:10, 45.53 ms , 12.72 Mbps , 11.77 Mbps ,
2022 07-11, 16:41, 15.61 ms , 9.19 Mbps , 14.84 Mbps ,
2022 07-11, 17:11, 19.95 ms , 12.02 Mbps , 18.31 Mbps ,
2022 07-11, 17:42, 20.02 ms , 13.40 Mbps , 16.40 Mbps ,
2022 07-11, 18:12, 19.98 ms , 14.01 Mbps , 17.15 Mbps ,
2022 07-11, 18:43, 19.98 ms , 13.53 Mbps , 16.64 Mbps ,
2022 07-11, 19:13, 19.67 ms , 11.51 Mbps , 17.61 Mbps ,
2022 07-11, 19:43, 19.67 ms , 9.02 Mbps , 15.97 Mbps ,
2022 07-11, 20:14, 18.03 ms , 11.00 Mbps , 16.84 Mbps ,
2022 07-11, 20:44, 19.97 ms , 10.96 Mbps , 16.09 Mbps ,
2022 07-11, 21:15, 16.17 ms , 9.91 Mbps , 16.82 Mbps ,
2022 07-11, 21:45, 24.82 ms , 9.49 Mbps , 14.75 Mbps ,
2022 07-11, 22:15, 19.86 ms , 7.81 Mbps , 17.46 Mbps ,
2022 07-11, 22:46, 19.75 ms , 12.46 Mbps , 17.38 Mbps ,
2022 07-11, 23:16, 19.01 ms , 3.68 Mbps , 15.30 Mbps ,
2022 07-11, 23:47, 15.93 ms , 4.95 Mbps , 16.11 Mbps ,
2022 07-12, 00:17, 19.01 ms , 12.55 Mbps , 17.31 Mbps ,
2022 07-12, 00:47, 17.75 ms , 15.72 Mbps , 16.93 Mbps ,
2022 07-12, 01:18, 18.95 ms , 14.31 Mbps , 18.14 Mbps ,
2022 07-12, 01:48, 31.11 ms , 17.45 Mbps , 5.91 Mbps ,
2022 07-12, 02:19, 27.93 ms , 21.01 Mbps , 4.64 Mbps ,
2022 07-12, 02:49, 30.84 ms , 17.73 Mbps , 7.17 Mbps ,
2022 07-12, 03:20, 24.88 ms , 23.52 Mbps , 7.48 Mbps ,
2022 07-12, 03:50, 22.44 ms , 45.18 Mbps , 15.28 Mbps ,
2022 07-12, 04:21, 24.54 ms , 43.56 Mbps , 17.73 Mbps ,
2022 07-12, 04:51, 31.93 ms , 43.68 Mbps , 15.61 Mbps ,
2022 07-12, 05:21, 27.59 ms , 45.18 Mbps , 15.17 Mbps ,
2022 07-12, 05:52, 24.74 ms , 44.70 Mbps , 17.21 Mbps ,
2022 07-12, 06:22, 27.87 ms , 38.82 Mbps , 15.89 Mbps ,
2022 07-12, 06:52, 19.04 ms , 40.46 Mbps , 18.21 Mbps ,
2022 07-12, 07:23, 19.18 ms , 31.46 Mbps , 16.76 Mbps ,
2022 07-12, 07:53, 18.93 ms , 32.80 Mbps , 16.33 Mbps ,
2022 07-12, 08:23, 19.90 ms , 33.70 Mbps , 17.25 Mbps ,
2022 07-12, 08:54, 18.91 ms , 38.67 Mbps , 17.10 Mbps ,
